activityid,facultyid,userid,fields__activity_type,fields__actual_projected_year_of_publication_presentation,fields__author,fields__author_editor_of_larger_work,fields__author_s,fields__author_s_editor_s,fields__book_title,fields__chapter_title,fields__co_contributor,fields__co_contributor_s,fields__conference_location,fields__conference_meeting_name,fields__contributor,fields__contributor_s,fields__copyright_patent_number_id,fields__date,fields__date_or_date_range,fields__date_published,fields__description_abstract,fields__doi,fields__edition,fields__if_patent_cooperation_treaty_list_nations,fields__if_patent_has_been_assigned_to_whom,fields__if_patent_has_been_licensed_to_whom,fields__inventor_s,fields__isbn,fields__isbn_issn,fields__isbn_issn_asin,fields__isbn_issn_asin_number,fields__issn,fields__issn_isbn,fields__issue,fields__issue_number,fields__issue_number_edition,fields__journal,fields__location_of_publisher_city_state_country,fields__month,fields__month_season,fields__name_of_conference,fields__name_of_performing_group,fields__name_of_venue,fields__name_of_venue_sponsor,fields__organization_if_applicable,fields__origin,fields__outlet_if_applicable,fields__page_number_or_number_of_pages,fields__page_numbers,fields__page_numbers_of_number_of_pages,fields__page_numbers_or_number_of_pages,fields__patent_nationality,fields__presenter_s,fields__publisher,fields__publisher_location,fields__pubmed_central_id_number,fields__sponsoring_organization,fields__title,fields__title_of_contribution,fields__title_of_contribution_if_applicable,fields__title_of_intellectual_property,fields__title_of_larger_work,fields__title_of_larger_work_if_applicable,fields__title_of_presentation,fields__title_of_review,fields__title_of_work,fields__type,fields__url,fields__venue_sponsor_location_city_state_country,fields__volume,fields__web_address,fields__work_exhibit_title,attachments,status,authors
19546,111640423,111640423,,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-09-30,International Society for New Institutional Economics Annual Conference,,,,,Other,,,,,,,,International Society for New Institutional Economics,"Washington, DC",,,,"Transaction copsts, Risk Sharing, and Petroleum Exploration",,,,,,,,Proceeding,,,,,,[],"[{""id"": 19546, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 1999, ""termid"": ""1999/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Black, G.', 'Leffler, K.']"
19548,111640423,111640423,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-10-31,Financial Management Association Annual National Meetings,,,,,Other,,,,,,,,,"Honolulu, Hawaii",,,,Information Technology and Pedagogy in Finance and Economics,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19548, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 1997, ""termid"": ""1997/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Black, G.', 'Cooper, D.', 'Grinder, B.']"
19549,111640423,111640423,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-31,Allied Social Sciences Association National Meetings,,,,,Other,,,,,,,,,"New Orleans, Louisiana",,,,Incroporating Internet Reserouces in Teaching Finance and Economics,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19549, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 1997, ""termid"": ""1996/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Black, G.', 'Cooper, D.']"
19668,113146926,113146926,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-06-30,9th International Conference of Urban Planning and Urban Management (CUPUM ‘05),,,,,Other,,,,,,,,University College London,"London, U.K.",,,,Modeling urban growth in data-sparse environments: a new approach,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19668, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2005, ""termid"": ""2005/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Fragkias, M.']"
19700,112057162,112057162,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-03-31,21st Annual North American Research Symposium on Purchasing and Supply Chain Management,,,,,Other,,,,,,,,Institute for Supply Management,San Diego,,,,")  Gaining Intra-organizational commitment for an environmental management project: Influence tactics, individual values and organizational climate",,,,,,,,Proceeding,,,,,,[],"[{""id"": 19700, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2011, ""termid"": ""2010/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Gattiker, T.', 'Carter, C. R.', 'Tate, W. W.']"
19701,112057162,112057162,,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-30,Decision Sciences 2010 Annual Meeting,,,,,Other,,,,,,,,DSI,San Diego,,,,Gaining Intra-organizational Commitment for an Environmental Management Project: The Moderating Roles of Individual Values and Image Risk,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19701, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2010, ""termid"": ""2010/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Gattiker, T.', 'Carter, C. R.', 'Tate, W. W.']"
19702,112057162,112057162,,2009.0,,,,,,,,,,,,,,,,,"While most technology adoption models have focused on beneficial technologies, Protection Motivation Theory (PMT) is a potentially valuable model for predicting adoption of protective technologies, which help users avoid harm from a growing number of negative technologies, such as malware. We present a PMT-based model of users’ intentions to adopt anti-spyware software and test the model on undergraduate student computer users. Results show that perceived vulnerability, perceived severity, response efficacy, and response cost influence behavioral intention to use anti-spyware software as a protective technology. Maladaptive coping was affected to a much lesser degree by these variables, although it did have its own significant effect on behavioral intention. Results are compared to the small but growing number of promising PMT based research models investigating technology adoption.",,,,,,,,,,,,,,,,,,,2009-01-31,Hawaii International Conference On System Science,,,,,Other,,,,,,,,"Shidler College of Business,  University of Hawaii at Manoa","Waikoloa, Big Island, Hawaii",,,,Application of Protection Motivation Theory to Adoption of Protective Technologies,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19702, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2009, ""termid"": ""2008/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Chenoweth, T.', 'Minch, R.', 'Gattiker, T.']"
19703,112057162,112057162,,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-11-30,Annual Meeting of the Decision Sciences Institute,,,,,Other,,,,,,,,Decision Sciences Institute,Phoenix,,,,Gaining purchasing’s commitment for environmental management projects: An intra-organizational influence perspective,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19703, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2007, ""termid"": ""2007/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Gattiker, T.', 'Carter, C. R.']"
19704,112057162,112057162,,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-03-31,18th Annual North American Research/Teaching Symposium on Purchasing and Supply Chain Management,,,,,Other,,,,,,,,ISM,Tempe AZ,,,,The Relationship Between TQM Orientation and Electronic Commerce Adoption among Manufacturers:  Does a Plant's Quality Management Orientation Affect its Use of Electronic Procurement Tools? ,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19704, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2007, ""termid"": ""2006/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Huang, X.', 'Gattiker, T.', 'Schroeder, R. G.']"
19705,112057162,112057162,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-12-31,Institute for Supply Management (ISM) North American Teaching and Research Symposium (NARTS),,,,,Other,,,,,,,,"Center for Advanced Purchasing Research, Inst. for Supply Mgt.","Tempe, AZ",,,,Why do Sellers Dislike Internet Reverse Auctions?: Some Experimental Results,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19705, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2005, ""termid"": ""2005/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Gattiker, T.']"
19714,111333118,111333118,,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-05,2014 American Accounting Association Annual Meeting,,,,,Other,,,,,,,,American Accounting Association,"Atlanta, Georgia",,,,The Effect of Auditor Identity Disclosure on Audit Quality: An Experimental Examination Incorporating the Incremental Effect of a Signature Requirement,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19714, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2014, ""termid"": ""2014/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Gooden, E.', 'Stevens, D. E.', 'Mellon, M. J.', 'Blay, A. D.']"
19716,111333118,111333118,,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-06,Accounting Behavior and Organizations Conference,,,,,Other,,,,,,,,American Accounting Association,"Atlanta, Georgia",,,,Does Forthcomingness Matter? Exploring the Determinants of Managers’ Long-Term Reporting Credibility,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19716, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2012, ""termid"": ""2012/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Gooden, E.']"
19778,112188648,112188648,,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-05-31,The Audit and Assurance Conference,,,,,Other,,,,,,,,The British Accounting & Finance Association,"London, England",,,,The effects of time budget pressure and intentionality on audit supervisors’ response to audit staff false sign-off,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19778, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2012, ""termid"": ""2011/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Hyatt, T. A.', 'Taylor, M. H.']"
19779,112188648,112188648,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-31,The Allied Academies International Conference,,,,,Other,,,,,,,,The Allied Academies,"Las Vegas, NV",,,,An examination of the recent increase in corporate financial restatements due to inappropriate lease accounting,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19779, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2005, ""termid"": ""2005/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Hyatt, T. A.', 'Ortegren, A.', 'Reed, B.']"
19780,112188648,112188648,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-30,The Association for Global Business Annual Meeting,,,,,Other,,,,,,,,The Association for Global Business,"Cancun, Mexico",,,,The effects of overconfidence and personal capability knowledge on employment contract selection and turnover,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19780, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2004, ""termid"": ""2004/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Hyatt, T. A.', 'Taylor, M. H.']"
19782,112188648,112188648,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-30,The Allied Academies International Conference ,,,,,Other,,,,,,,,The Allied Academies,"Nashville, TN",,,,"Capitalized customer acquisition costs and earnings quality: A case study of PhotoWorks, Inc.",,,,,,,,Proceeding,,,,,,[],"[{""id"": 19782, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2002, ""termid"": ""2001/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Hyatt, T. A.', 'Weihrich, S. G.']"
19787,112188648,112188648,,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-04-30,The Allied Academies National Conference,,,,,Other,,,,,,,,The Allied Academies,"Myrtle Beach, SC",,,,The use and perceived effectiveness of analytical procedures: A survey,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19787, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 1998, ""termid"": ""1997/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Hyatt, T. A.', 'Steffen, R. L.']"
19788,112188648,112188648,,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-12-31,The American Academy of Accounting and Finance Annual Meeting,,,,,Other,,,,,,,,The American Academy of Accounting and Finance,"New Orleans, LA",,,,Client acceptance: A decision aid,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19788, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 1995, ""termid"": ""1995/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Braun, G. P.', 'Hyatt, T. A.', 'Taylor, M. H.']"
19792,112033833,112033833,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-30,Canadian Agricultural Economics Society (CAES) and Western Agricultural Economics Association (WAEA) Joint Annual Meeting,,,,,Other,,,,,,,,CAES-WAES,"Banff, Canada",,,,Applied Economists and Multidisciplinary Research: Are We Meeting New Demands?,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19792, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2011, ""termid"": ""2011/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Islam, S.', 'Mooney, S.', 'Cobourn, K.']"
19793,112033833,112033833,,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-30,50th North American meeting of the Regional Science Association International,,,,,Other,,,,,,,,Regional Science Association International,"Philadelphia, PA",,,,Spatial Spillovers of the Appalachian Development Highway System,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19793, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2003, ""termid"": ""2003/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Islam, S.']"
19796,112033833,112033833,,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-30,55th North American meeting of the Regional Science Association International,,,,,Other,,,,,,,,Regional Science Association International,"Manhattan, NY",,,,Impact of Air Quality Regulations on Entrepreneurial Activity,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19796, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2008, ""termid"": ""2008/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Islam, S.']"
19797,112033833,112033833,,2007.0,,,,,,,,,,,,,,,,,"Socio-economic life in the Middle East is dictated by Islamic religious practices. It is especially true for the Gulf States of the Arabian Peninsula. Much has been written and surmised about the social and economic status of women in such societies - in particularly harsh focus since 9/11. In any theory of sustainable economic development and growth, gender issues are a crucial component. Using a survey of 180 women entrepreneurs in Bahrain, this paper intends to examine the effects of changing opportunities among women who choose entrepreneurial careers in Bahrain. In particular, we attempt to measure improvements accruing to women from the constitutional amendment implemented in 2002 in which the government of Bahrain pledged to support and foster women’s empowerment programs in the country.",,,,,,,,,,,,,,,,,,,2007-06-30,2007 Mid-Continent Regional Science Association Conference,,,,,Other,,,,,,,,Mid-Continent Regional Science Association,"Kansas City, MO",,,,Beyond the Veil: Women Entrepreneurs in Islamic Societies -The Case of Bahrain,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19797, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2007, ""termid"": ""2007/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Islam, S.', 'McIntosh, J.']"
19798,112033833,112033833,,2007.0,,,,,,,,,,,,,,,,,"Much current entrepreneurship research is grounded in a Western context largely underpinned by the Protestant ethic. Protestantism professes strong individualism, pursuit of self-interest, and the accumulation of capital. Islam, in contrast advocates collectivism, the pursuit of the common good, and a distribution of economic benefits based partly on individual needs. We contend that the almost diametrically opposed assumptions of Protestantism, which undergirds much entrepreneurship research, may yield misleading conclusions in an Islamic setting. As a result we propose a study of female entrepreneurship through an Islamic lens. Women were chosen because Islamic institutions are designed to yield distinct results across men and women thus giving highly contrasting results when compared to a Western interpretation. The study proposes to test the link between religiosity and access to Islamic funding and government authorities; and the connection between human and social capital on growth aspirations, business choice, and source of funding. ",,,,,,,,,,,,,,,,,,,2007-05-31,2007 Academy for Global Business Advancement World Congress ,,,,,Other,,,,,,,,,"Penang, Malaysia",,,,Entrepreneurship through an Islamic Lens: The Influence of Shari'a and Islamic Institutions on Female Entrepreneurship in the Middle East,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19798, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2007, ""termid"": ""2006/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Islam, S.']"
19800,112033833,112033833,,2005.0,,,,,,,,,,,,,,,,,"Traditional input-output analysis captures the direct and indirect impacts stemming from firms' expenditures on items such as wages, salaries, and purchases. I-O models can be modified to include the effects of such expenditures as retirement benefits, tax payments, and charitable contributions. However, even such extended input-output analyses do not provide complete measures of the economic impact of a new firm or research facility's location choice. Additional economic impacts arise when facilities generate additional external economies generated by a new firm or economic facility. These agglomeration effects are essentially overlooked in standard I-O analyses. These agglomeration effects are likely to differ depending on the urban or rural nature of the region in which a facility locates. Urban firm location is more likely to generate localization economies such as those stemming from knowledge spillovers, labor pool effects, and scale economies of input providers. In rural areas, these localization economies are likely to be small. However, location of new firms in rural areas can result in substantial increases in population and income which can then give rise to agglomeration effects as new firms are attracted to the new economic node.  As shown by Black, Church and Holley (2004), these agglomeration economies can be large. This paper extends examines whether the agglomeration effects of new capital investment are larger in rural areas than in urban areas. Using BEA data and an economic forecasting model in Northwestern U.S., we expect to show that rural areas gain more on net as a consequence of new capital injections into the local economy.",,,,,,,,,,,,,,,,,,,2005-11-30,North American Regional Science Conference,,,,,Other,,,,,,,,North American Regional Science Association,"Las Vegas, NV",,,,Agglomeration Effects of New Investment on Local Economies: Do Rural Areas Stand to Gain More?,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19800, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2005, ""termid"": ""2005/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Black, G.', 'Islam, S.']"
19804,112033833,112033833,,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-01-31,Hawaii International Conference on Education,,,,,Other,,,,,,,,,"Honolulu, Hawaii",,,,Course-Embedded Undergraduate Research: Teaching Research in the Classroom,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19804, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2010, ""termid"": ""2009/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Islam, S.']"
19806,112033833,112033833,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-30,51st North American meeting of the Regional Science Association International,,,,,Other,,,,,,,,,"New Orleans, LA",,,,Impacts on Production Process from Unscheduled Events or Shocks: A Sequential Industry Model Analysis,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19806, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2004, ""termid"": ""2004/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Islam, S.', 'Okuyama, Y.']"
