activityid,facultyid,userid,fields__activity_type,fields__actual_projected_year_of_publication_presentation,fields__author,fields__author_editor_of_larger_work,fields__author_s,fields__author_s_editor_s,fields__book_title,fields__chapter_title,fields__co_contributor,fields__co_contributor_s,fields__conference_location,fields__conference_meeting_name,fields__contributor,fields__contributor_s,fields__copyright_patent_number_id,fields__date,fields__date_or_date_range,fields__date_published,fields__description_abstract,fields__doi,fields__edition,fields__if_patent_cooperation_treaty_list_nations,fields__if_patent_has_been_assigned_to_whom,fields__if_patent_has_been_licensed_to_whom,fields__inventor_s,fields__isbn,fields__isbn_issn,fields__isbn_issn_asin,fields__isbn_issn_asin_number,fields__issn,fields__issn_isbn,fields__issue,fields__issue_number,fields__issue_number_edition,fields__journal,fields__location_of_publisher_city_state_country,fields__month,fields__month_season,fields__name_of_conference,fields__name_of_performing_group,fields__name_of_venue,fields__name_of_venue_sponsor,fields__organization_if_applicable,fields__origin,fields__outlet_if_applicable,fields__page_number_or_number_of_pages,fields__page_numbers,fields__page_numbers_of_number_of_pages,fields__page_numbers_or_number_of_pages,fields__patent_nationality,fields__presenter_s,fields__publisher,fields__publisher_location,fields__pubmed_central_id_number,fields__sponsoring_organization,fields__title,fields__title_of_contribution,fields__title_of_contribution_if_applicable,fields__title_of_intellectual_property,fields__title_of_larger_work,fields__title_of_larger_work_if_applicable,fields__title_of_presentation,fields__title_of_review,fields__title_of_work,fields__type,fields__url,fields__venue_sponsor_location_city_state_country,fields__volume,fields__web_address,fields__work_exhibit_title,attachments,status,authors
22439,111110214,111110214,,2016.0,,,,,,,,,,,,,,,,,Role:  Principal,,2,,,,,978-0-7656-4586,,,,,,,,,,,,,,,,,,Other,,,,,,,,Routledge/Taylor Francis,,,,Human Resource Management The Public Sector Perspective,,,,,,,,,Book,,,,,,[],"[{""id"": 22439, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22439, ""status"": ""In Progress"", ""term"": ""Summer"", ""year"": 1966, ""termid"": ""1966/01"", ""listingorder"": 1, ""completionorder"": 1}]","['Fredericksen, E. D.']"
23328,113153409,113153409,,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Routledge,,,,PoliSciFi,,,,,,,,,Book,,,,,,[],"[{""id"": 23328, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 23328, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2015, ""termid"": ""2014/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Allen, M.', 'Vaughn, J.']"
23331,113153409,113153409,,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,PoliSciFi,,,,,,,,,Book,,,,,,[],"[{""id"": 23331, ""status"": ""Work Discontinued"", ""term"": ""Fall"", ""year"": 2014, ""termid"": ""2014/02"", ""listingorder"": 7, ""completionorder"": 1}]","['Allen, M.', 'Vaughn, J.']"
23332,113153409,113153409,,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,PoliSciFi,,,,,,,,,Book,,,,,,[],"[{""id"": 23332, ""status"": ""Work Discontinued"", ""term"": ""Fall"", ""year"": 2014, ""termid"": ""2014/02"", ""listingorder"": 7, ""completionorder"": 1}]","['Allen, M.', 'Vaughn, J.']"
23333,113153409,113153409,,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,PoliSciFi,,,,,,,,,Book,,,,,,[],"[{""id"": 23333, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 23333, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2014, ""termid"": ""2014/02"", ""listingorder"": 2, ""completionorder"": 2}]","['Allen, M.', 'Vaughn, J.']"
23363,111110410,111110410,,2000.0,,,,,,,,,,,,,,,,,"Examines the science-policy linkage that defined the policy debate over acid rain in the United States.Alm provides a descriptive analysis of the science-policy linkage that defined the policy debate over acid rain in the United States. He focuses on the role that science and scientists played in both defining the acid rain problem as one worthy of policy consideration and in framing the acid rain issue in a way that would prompt action to reduce pollution levels.A major concern of Alm's study are the problems scientists have in connecting to the policy side of environmental debates. He provides in-depth exchanges from the floor of Congress between scientists and policy makers as they debated the merits of reducing acid rain pollution. These exchanges provide special insight into the difficulty that scientists have in communicating the findings of their research to policy makers and the public. In addition, he uses in-depth interviews with the acid-rain scientists themselves to delineate the way they perceive how science is and ought to be linked to the policy world. Finally, Alm looks at the different perspectives offered by United States scientists versus Canadian scientists and natural scientists versus social scientists, and he examines the importance and implications of these differences to the future of environmental policy making in the United States.",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Praeger,,,,"Crossing Borders, Crossing Boundaries: The Role of Scientists in the U.S.-Canadian Acid Rain Debate",,,,Praeger,,,,,Book,,,,http://scholarworks.boisestate.edu/fac_books/213,,[],"[{""id"": 23363, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2000, ""termid"": ""1999/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Alm, L. R.']"
23364,111110410,111110410,,2010.0,,,,,,,,,,,,,,,,,"This book explores the intricacies of the science-policy linkage that  pervades environmental policymaking in a democracy.To what  extent should science inform and shape the environmental policymaking  process? By what mechanisms does it do so in the United States and other  liberal democracies? How can scientists most effectively discharge  their duty as citizens and public trustees to ensure that environmental  policymaking in the United States is scientifically sound?These  are the key questions that this primary textbook for courses on American  public policymaking and environmental policymaking addresses and  attempts to answer. Turmoil in American Public Policy: Science,  Democracy, and the Environment first lays out the basics of the  policymaking process in the United States in relation to the substantive  issues of environmental policymaking. Drawing on hundreds of  interviews, the authors highlight the views and experiences of  scientists, especially natural scientists, in their interactions with  policymakers and their efforts to harness the findings of their science  to rational public policy. The proper role of science and  scientists in relation to environmental policymaking hinges on  fundamental questions at the intersection of political philosophy and  scientific epistemology. How can the experimental nature of the  scientific method and the probabilistic expression of scientific results  be squared with the normative language of legislation and regulation?  If scientists undertake to square the circle by hardening the tentative  truths of their scientific models into positive truths to underpin  public policy, at what point may they be judged to have exceeded the  proper limits of scientific knowledge, relinquished their role as  impartial experts, and become partisan advocates demanding too much say  in a democratic setting? Providing students—and secondarily  policymakers, scientists, and citizen activists—a theoretical and  practical knowledge of the means availed by modern American democracy  for resolving this tension is the object of this progressively  structured textbook.",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,"ABC-CLIO, LLC",,,,"Turmoil in American Public Policy: Science, Democracy, and the Environment",,,,"ABC-CLIO, LLC",,,,,Book,,,,http://scholarworks.boisestate.edu/fac_books/2,,[],"[{""id"": 23364, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2010, ""termid"": ""2009/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Alm, L. R.', 'Burkhart, R. E.', 'Simon, M. V.']"
23385,113145983,113145983,,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,"iBook, Lengua e Identidad",,,,,,,,,Book,,,,,,[],"[{""id"": 23385, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2015, ""termid"": ""2015/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Arispe, K.']"
23458,113116029,113116029,,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,The Myths of Urban Redevelopment: How American Cities Rebuild Military Bases,,,,,,,,,Book,,,,,,[],"[{""id"": 23458, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2013, ""termid"": ""2013/02"", ""listingorder"": 2, ""completionorder"": 2}]","['Ashley, A. G.', 'Touchton, M.']"
23491,111716691,111716691,,2011.0,,,,,,,,,,,,,,,,,"This book consists of several survey and research papers covering a wide range of topics in active areas of set theory and set theoretic topology. Some of the articles present, for the first time in print, knowledge that has been around for several years and known intimately to only a few experts. The surveys bring the reader up to date on the latest information in several areas that have been surveyed a decade or more ago. Topics covered in the volume include combinatorial and descriptive set theory, determinacy, iterated forcing, Ramsey theory, selection principles, set-theoretic topology, and universality, among others. Graduate students and researchers in logic, especially set theory, descriptive set theory, and set-theoretic topology, will find this book to be a very valuable reference.",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,American Mathematical Society,,,,"Set Theory and Its Applications: Annual Boise Extravaganza in Set Theory, 1995--2010, Boise, Idaho",,,,American Mathematical Society,,,,,Book,,,,http://scholarworks.boisestate.edu/fac_books/12,,[],"[{""id"": 23491, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2011, ""termid"": ""2010/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Babinkostova, L.', 'Caicedo, A. E.', 'Geschke, S.', 'Scheepers, M.']"
23502,113083482,113083482,,2010.0,,,,,,,,,,,,,,,,,,,,,,,, ISBN-13: 978-1615207138 ,,,,,,,,,,,,,,,,,,Other,,,,,,,,IGI Global,,,,Gaming for Classroom-Based Kearning: Digital Role Playing as a Motivator of Study,,,,,,,,,Book,,,,,,[],"[{""id"": 23502, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2010, ""termid"": ""2010/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Baek, Y.']"
23505,113083482,113083482,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,IGI Global,New York,,,"Cases on digital Game-Based Learning: Methods, models and strategies",,,,,,,,,Book,,,,,,[],"[{""id"": 23505, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Baek, Y.', 'Whitton, N.']"
23506,113083482,113083482,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Nova Science Publishers ,"Hauppauge, NY",,,Psychology of gaming,,,,,,,,,Book,,,,,,[],"[{""id"": 23506, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Baek, Y.']"
23507,113083482,113083482,,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,Trends and Applications of Serious Gaming and Social Media (eds) ,,,,,,,,,Book,,,,,,[],"[{""id"": 23507, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2014, ""termid"": ""2013/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Baek, Y.', 'Ko, R.', 'Marsh, T.']"
23573,111110347,111110347,,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Boynton/Cook Publishers,,,,Beyond Note Cards: Rethinking the Freshman Research Paper,,,,Boynton/Cook Publishers,,,,,Book,,,,http://scholarworks.boisestate.edu/fac_books/219,,[],"[{""id"": 23573, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 1999, ""termid"": ""1998/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ballenger, B.']"
23574,111110347,111110347,,2011.0,,,,,,,,,,,,,,,,,Crafting Truthintroduces students to the craft of creative nonfiction by showing them models from the best nonfiction writers and offering plentiful exercises to help them more artfully tell true stories.,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Longman,,,,Crafting Truth: Short Stories in Creative Nonfiction,,,,Longman,,,,,Book,,,,http://scholarworks.boisestate.edu/fac_books/225,,[],"[{""id"": 23574, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2011, ""termid"": ""2010/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ballenger, B.']"
23575,111110347,111110347,,1996.0,,,,,,,,,,,,,,,,,Provides exercises designed to help one write more freely and expressively and includes advice on evaluating and editing one's work.,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Writer's Digest Books,,,,Discovering the Writer Within: 40 Days to More Imaginative Writing,,,,Writer's Digest Books,,,,,Book,,,,http://scholarworks.boisestate.edu/fac_books/217,,[],"[{""id"": 23575, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 1996, ""termid"": ""1995/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ballenger, B.', 'Lane, B.']"
23576,111110347,111110347,,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Longman,,,,The Curious Reader: Exploring Personal and Academic Inquiry,,,,Longman,,,,,Book,,,,http://scholarworks.boisestate.edu/fac_books/162,,[],"[{""id"": 23576, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2003, ""termid"": ""2002/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ballenger, B.', 'Payne, M. M.']"
23577,111110347,111110347,,2006.0,,,,,,,,,,,,,,,,,"Bridging the gap between personal and academic writing, The Curious Reader is a composition reader that introduces students to the unique reading strategies used by writers who research. Beginning with essays and creative nonfiction, readings that many students will be surprised to discover are research based, The Curious Reader leads students to see the many connections between all fact-based writing, whether it's a personal essay or an article from a scholarly journal. The Curious Reader invites students to become active researchers as they are encouraged to confront underlying beliefs that either hinder or help their fact-based writing. Questions and assignments ask students to explain, evaluate, explore, and reflect on what they have read and how it has changed their thinking.",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Pearson/Longman,,,,The Curious Reader: Exploring Personal and Academic Inquiry,,,,Pearson/Longman,,,,,Book,,,,http://scholarworks.boisestate.edu/fac_books/161,,[],"[{""id"": 23577, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2006, ""termid"": ""2005/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ballenger, B.', 'Payne, M. M.']"
